Country,Country_Code,Region,Year,Month,Total_Revenue,Accommodation_Revenue,Transportation_Revenue,Food_Beverage_Revenue,Activities_Revenue,Revenue_Per_Tourist,Tourism_Maturity
France,FRA,Europe,2022,3,9924853530.3,4380713223.21,2748974516.34,2008494603.75,1208219933.28,15693.13,mature
France,FRA,Europe,2022,4,12419489264.38,5647433418.99,2820079021.42,2871153570.89,1673976570.55,17657.75,mature
France,FRA,Europe,2022,5,11967881142.82,5656204041.49,3438653745.06,2272079978.08,1207466821.35,14639.29,mature
France,FRA,Europe,2022,6,20332596216.62,9797449881.6,5893909980.35,3971657003.48,2651607842.84,20572.78,mature
France,FRA,Europe,2022,7,27425880481.51,13149035629.56,6375785793.82,5516935978.26,4747450218.57,21143.71,mature
France,FRA,Europe,2022,8,30827250307.76,10813207273.52,7269256421.96,6640878364.22,5602823923.49,20685.39,mature
France,FRA,Europe,2022,9,11901924815.58,3886999010.56,2911503029.6,1937265259.77,1295283109.04,15790.51,mature
France,FRA,Europe,2022,10,11418822510.16,5609410030.39,3240218587.76,2597178365.14,1972094553.93,16001.38,mature
France,FRA,Europe,2022,11,12392535798.23,5583667885.55,3255367153.92,2310811464.7,1364348656.69,17512.49,mature
France,FRA,Europe,2022,12,11727661358.93,5687409677.99,3029372516.85,1975529457.95,1933918693.48,21921.52,mature
Spain,SPA,Europe,2018,1,5278538906.35,2566826878.74,1140660538.95,1167619007.58,887640403.55,10993.77,mature
Spain,SPA,Europe,2018,2,4441923593.72,1834436378.84,1275531246.13,677266281.28,498780032.69,12812.23,mature
Spain,SPA,Europe,2018,3,5124458593.88,2172081098.72,1255020569.64,872539641.75,814380876.23,10574.24,mature
Spain,SPA,Europe,2018,4,6365751920.71,2577426084.95,1330796158.6,1544984219.21,1013590225.78,11349.11,mature
Spain,SPA,Europe,2018,5,6588965257.64,2882564492.09,1527261522.22,1321651567.22,883667064.54,10286.61,mature
Spain,SPA,Europe,2018,6,15544904504.71,7753738004.64,3359536882.28,2368388929.18,1895425193.15,17130.18,mature
Spain,SPA,Europe,2018,7,20825102032.89,6972040655.95,5854945000.63,3974825950.89,3353950865.27,16110.73,mature
Spain,SPA,Europe,2018,8,14794403673.24,7111160686.32,3010861370.62,3298119215.39,2444290147.83,15639.22,mature
Spain,SPA,Europe,2018,9,8557916866.38,3275952421.75,1724998103.49,1873534009.91,1565646254.86,11639.8,mature
Spain,SPA,Europe,2018,10,6397888448.03,2484450440.18,1383604063.38,1350554447.83,1142410081.12,9659.16,mature
Spain,SPA,Europe,2018,11,6251712428.84,2273197747.81,1337699353.27,1434310468.38,827674747.9,11700.14,mature
Spain,SPA,Europe,2018,12,5613639466.86,2325642376.27,1261203641.8,1314268639.24,641782253.61,14117.71,mature
Spain,SPA,Europe,2019,1,5273153559.45,1848904954.67,1418268235.19,1080221805.63,944415326.67,10886.15,mature
Spain,SPA,Europe,2019,2,3876395478.69,1166646520.07,858697762.16,968772131.47,544767296.26,10969.73,mature
Spain,SPA,Europe,2019,3,6217948969.15,2990748402.64,1256351625.55,1342832858.42,801106227.72,11537.03,mature
Spain,SPA,Europe,2019,4,5063514985.0,1746762185.45,1429293168.53,948369890.94,540336058.22,10340.16,mature
Spain,SPA,Europe,2019,5,7685336354.72,2534031179.3,2227923357.6,1481305103.74,1472548364.71,9699.95,mature
Spain,SPA,Europe,2019,6,11969725128.41,5596762471.79,2737274819.41,2120214663.61,1867358968.82,16909.35,mature
Spain,SPA,Europe,2019,7,18063014724.0,7257938558.83,3708705772.95,4464437001.65,1911371875.65,15506.92,mature
Spain,SPA,Europe,2019,8,14650492645.21,6382342153.78,3157915963.03,2354143605.77,1690110691.26,14667.7,mature
Spain,SPA,Europe,2019,9,6718944605.31,2353402720.41,1525952457.4,1342863109.32,966669689.55,9577.34,mature
Spain,SPA,Europe,2019,10,6906889269.96,2923050109.29,1540900357.12,1129072042.26,1297720422.23,11022.73,mature
Spain,SPA,Europe,2019,11,6566523519.75,2049626445.21,1944381530.23,1440083590.06,756269562.01,11585.13,mature
Spain,SPA,Europe,2019,12,7271864868.97,2712998025.14,2170295400.09,1165880372.47,843513939.85,17441.66,mature
Spain,SPA,Europe,2020,1,1569097802.19,477678393.16,316752147.93,359634522.47,183236155.2,11667.54,mature
Spain,SPA,Europe,2020,2,1294752536.63,498711788.25,372066867.51,248302926.51,198126918.06,12584.95,mature
Spain,SPA,Europe,2020,3,1596759292.1,689185714.62,370160925.27,275148786.56,172617234.06,10470.96,mature
Spain,SPA,Europe,2020,4,2000955386.56,722734822.01,547556108.04,341286965.92,259969616.47,9562.42,mature
Spain,SPA,Europe,2020,5,2904369095.11,1242580584.08,847995147.41,700309037.45,308853712.16,12537.15,mature
Spain,SPA,Europe,2020,6,4397640294.65,1364304539.39,1286581963.95,900079743.35,674241628.9,17392.08,mature
Spain,SPA,Europe,2020,7,4164509568.32,1981649620.43,1089854051.24,801834611.39,463047380.78,16543.56,mature
Spain,SPA,Europe,2020,8,4055408954.87,1320679202.1,1105652852.77,822406498.49,562013141.92,16810.12,mature
Spain,SPA,Europe,2020,9,2341893262.81,1064323081.74,688783505.74,413273174.08,455997100.4,11511.58,mature
Spain,SPA,Europe,2020,10,2423776441.18,1121544626.92,698395954.14,531395415.67,251853936.18,12732.93,mature
Spain,SPA,Europe,2020,11,1406385775.52,632087306.41,413716944.45,291185402.65,252333831.23,11378.53,mature
Spain,SPA,Europe,2020,12,1593568101.1,567566135.51,343370592.71,358697093.04,196609390.45,16514.69,mature
Spain,SPA,Europe,2021,1,2614231522.67,1120954368.03,729127069.76,544369819.78,492778238.06,10218.87,mature
Spain,SPA,Europe,2021,2,2085137547.44,730805025.14,549841493.27,485705306.36,320976024.04,10102.17,mature
Spain,SPA,Europe,2021,3,3002463049.53,1307238261.27,844767729.19,533400659.86,316519122.91,9396.44,mature
Spain,SPA,Europe,2021,4,3903149213.73,1203852387.15,943007385.44,592426952.62,478122790.14,11178.01,mature
Spain,SPA,Europe,2021,5,5512186945.81,1776804833.19,1165362257.54,1282719934.71,574052304.34,10724.77,mature
Spain,SPA,Europe,2021,6,9669662440.61,4476052028.41,2060336591.91,1639366271.44,1587268612.49,16458.27,mature
Spain,SPA,Europe,2021,7,10707791710.27,4232625315.63,3036732629.0,1753918262.41,1734290184.76,15147.92,mature
Spain,SPA,Europe,2021,8,10557013429.97,3288439225.27,2174751908.38,2169194282.28,2069254650.31,17347.82,mature
Spain,SPA,Europe,2021,9,3941221262.1,1443111247.51,827123601.9,733952837.99,411594537.5,10133.86,mature
Spain,SPA,Europe,2021,10,4575517042.99,1880983869.18,1361218528.75,1060782371.31,833689134.04,10725.72,mature
Spain,SPA,Europe,2021,11,3142121641.77,997456901.65,817917736.29,635066206.37,476503965.04,10160.79,mature
Spain,SPA,Europe,2021,12,4445570091.58,1772791010.4,955955716.67,854489515.04,472191843.21,14422.62,mature
Spain,SPA,Europe,2022,1,4242366061.07,1283892768.49,1246968472.93,1002425207.47,743520500.54,12367.69,mature
Spain,SPA,Europe,2022,2,3311920719.0,1029225728.42,874876018.68,778070226.86,373126650.44,12808.75,mature
Spain,SPA,Europe,2022,3,4485455700.51,1699020564.33,1092579461.1,1082126991.14,690155291.87,11412.56,mature
Spain,SPA,Europe,2022,4,5077014082.79,2474756167.48,1109434788.68,1214745081.22,1000639225.7,9687.35,mature
Spain,SPA,Europe,2022,5,7304321183.39,3180496874.46,2003978367.53,1606853690.93,1066813922.51,12441.21,mature
Spain,SPA,Europe,2022,6,11794551019.04,4210661153.51,3221289868.15,2507564535.81,1869299559.79,15003.21,mature
Spain,SPA,Europe,2022,7,14599346086.36,6642078304.71,4012398017.62,2343773773.4,1989942041.85,16330.66,mature
Spain,SPA,Europe,2022,8,12413235544.8,5060227322.14,2558884338.63,2808449913.32,1373558443.08,14966.52,mature
Spain,SPA,Europe,2022,9,8003872747.11,3654154504.47,1642042503.63,1728997446.09,1540327919.2,10312.62,mature
Spain,SPA,Europe,2022,10,7750766384.4,3429958254.71,2164220821.18,1334872889.97,1225368199.07,11527.91,mature
Spain,SPA,Europe,2022,11,4027458442.71,1409203987.11,883002709.92,839898513.83,722740275.83,10444.79,mature
Spain,SPA,Europe,2022,12,6216452838.6,2397792715.87,1475101472.55,1359729020.04,1106751926.27,17114.37,mature
Italy,ITA,Europe,2018,1,6073062604.98,2183012011.84,1538545623.02,1180837601.05,1035935569.37,11957.34,mature
Italy,ITA,Europe,2018,2,4407402933.33,1420593325.18,954622846.42,1058618008.38,540963915.35,12985.87,mature
Italy,ITA,Europe,2018,3,6644189367.05,2965241329.85,1783307830.3,1395330275.31,998127436.81,11125.1,mature
Italy,ITA,Europe,2018,4,12989236139.97,4208076839.77,3260509713.27,2681036717.42,1328140196.83,14890.43,mature
Italy,ITA,Europe,2018,5,10543249596.96,4813630517.69,2605341095.53,2504315355.84,1734152567.57,12607.11,mature
Italy,ITA,Europe,2018,6,17972690860.3,8283541812.71,4833755637.22,4042742322.98,3046929224.44,19517.12,mature
Italy,ITA,Europe,2018,7,23657431145.9,9777772268.86,5180704846.27,5506123340.99,3104179815.45,18634.15,mature
Italy,ITA,Europe,2018,8,22126201361.32,7742159461.17,5964925137.06,5476608663.93,3987009247.29,18573.84,mature
Italy,ITA,Europe,2018,9,10088423400.43,4171576259.11,2511786661.44,1720047368.93,1359929615.1,13455.2,mature
Italy,ITA,Europe,2018,10,10428387218.31,5098582578.87,2529491723.2,2175560083.09,2004778750.75,12584.18,mature
Italy,ITA,Europe,2018,11,9231686969.28,3233767222.02,2198070304.81,1731439079.72,1582973579.81,13042.96,mature
Italy,ITA,Europe,2018,12,9252624427.7,4127204515.08,2673307769.35,1698849399.92,1050488479.79,17592.61,mature
Italy,ITA,Europe,2019,1,8392857315.76,3123577206.26,2126738434.1,1791174763.62,1181498566.68,13534.88,mature
Italy,ITA,Europe,2019,2,6517710940.1,2476227842.69,1503879889.56,1554914148.81,740608617.4,14706.62,mature
Italy,ITA,Europe,2019,3,7854044075.04,3826016215.21,1734933528.48,1294690002.3,1205727952.24,11428.64,mature
Italy,ITA,Europe,2019,4,7703026953.91,3266106538.66,1889499205.57,1648765105.44,989020057.5,11111.6,mature
Italy,ITA,Europe,2019,5,14377025455.34,5091136795.52,3792033462.42,3515314777.71,2013947079.66,14627.91,mature
Italy,ITA,Europe,2019,6,18492955421.56,5800805442.2,5479495972.83,4186253066.82,3548709490.3,17041.04,mature
Italy,ITA,Europe,2019,7,27635152623.95,10183269123.01,5866988737.68,6713426582.65,4116584963.61,19241.72,mature
Italy,ITA,Europe,2019,8,27045632755.5,11239040206.11,5697322978.51,4893106207.86,4429739569.16,18003.7,mature
Italy,ITA,Europe,2019,9,12878520358.95,4211901432.63,3233265692.06,2734698581.05,1528682563.42,11330.0,mature
Italy,ITA,Europe,2019,10,8457963014.88,4158555251.2,1714845791.33,1270430061.36,1119276558.72,11055.48,mature
Italy,ITA,Europe,2019,11,8388317984.02,3478780354.52,2427754437.11,1661816111.7,1487501442.1,11830.95,mature
Italy,ITA,Europe,2019,12,11234338704.8,3795857583.28,2795452729.75,2406473990.49,1496282741.0,20103.28,mature
Italy,ITA,Europe,2020,1,2382691302.11,1050916961.98,576872029.24,378360359.64,241025614.19,13949.28,mature
Italy,ITA,Europe,2020,2,1461948514.97,462580639.74,406659172.4,268168985.48,243574990.01,12432.49,mature
Italy,ITA,Europe,2020,3,2113793772.14,970628065.34,610550834.67,494102285.1,313787097.45,12338.42,mature
Italy,ITA,Europe,2020,4,3068930001.9,1148830073.49,744048574.04,755034734.62,480440164.78,11263.78,mature
Italy,ITA,Europe,2020,5,3306547949.21,1509110852.17,849188460.11,693873998.09,411773607.44,13544.27,mature
Italy,ITA,Europe,2020,6,6105612966.27,2712584485.31,1739296622.5,1167393311.08,945707216.94,16621.06,mature
Italy,ITA,Europe,2020,7,7009773388.22,2734120883.45,1548381642.07,1584129440.78,1045796354.75,17638.33,mature
Italy,ITA,Europe,2020,8,7845866856.51,2411957681.75,2057498863.07,1335881080.35,1085393018.97,18620.61,mature
Italy,ITA,Europe,2020,9,3666352862.6,1428948267.45,816656778.15,861633334.98,523500248.74,12610.07,mature
Italy,ITA,Europe,2020,10,3059862228.77,1293671530.01,797701393.62,630122939.26,557698368.43,13426.69,mature
Italy,ITA,Europe,2020,11,2553552893.97,979106014.31,673077230.43,409290925.59,278534572.93,14247.67,mature
Italy,ITA,Europe,2020,12,3404916516.04,1634498864.37,902302775.46,738600082.43,394178098.05,18345.26,mature
Italy,ITA,Europe,2021,1,4021641295.61,1528859871.73,1119214064.41,658674102.25,619007411.69,12776.28,mature
Italy,ITA,Europe,2021,2,4311375714.53,2062958693.25,1229749694.46,808376614.33,836881437.72,14651.98,mature
Italy,ITA,Europe,2021,3,5912404431.26,2780179670.88,1733726156.76,1440853708.18,733176558.38,14217.71,mature
Italy,ITA,Europe,2021,4,5022086020.8,2200552485.49,1287268098.0,917749310.8,845945032.07,11442.88,mature
Italy,ITA,Europe,2021,5,5924210916.09,1833197679.61,1394743246.28,1003470465.67,1018108851.57,11173.88,mature
Italy,ITA,Europe,2021,6,15383307514.49,6650595847.29,4083936430.42,2317642300.59,2326382170.31,20262.15,mature
Italy,ITA,Europe,2021,7,16598171974.05,7150892055.34,3697711514.12,3898039605.02,3260506269.04,19726.03,mature
Italy,ITA,Europe,2021,8,11671983907.91,3985035538.21,2729524839.93,1824515833.49,2186667601.28,17522.48,mature
Italy,ITA,Europe,2021,9,7672712069.29,3273643995.93,2120994508.21,1663943222.68,1056804241.88,14725.48,mature
Italy,ITA,Europe,2021,10,7246197444.9,3385887450.53,2036114389.65,1145665500.82,1059829534.32,13508.21,mature
Italy,ITA,Europe,2021,11,4918084989.92,2215114081.96,1230197946.24,909698725.79,839197314.51,12547.03,mature
Italy,ITA,Europe,2021,12,5201711424.47,1827490254.73,1503511472.78,839060941.99,529579845.6,18319.3,mature
Italy,ITA,Europe,2022,1,5418551293.58,1802907260.66,1375251184.62,1151369270.72,784937373.44,11509.32,mature
Italy,ITA,Europe,2022,2,4311448749.57,1407421481.93,1074478549.1,890522447.54,562196262.55,11756.08,mature
Italy,ITA,Europe,2022,3,6532101738.87,2064918499.9,1323563513.69,1048883373.2,1137943995.82,11822.7,mature
Italy,ITA,Europe,2022,4,7470461978.77,2282104986.63,1873715329.99,1521036310.35,1067296520.76,12328.76,mature
Italy,ITA,Europe,2022,5,9205823856.6,4151766532.95,2475521143.73,1744254270.29,1271154295.27,11373.25,mature
Italy,ITA,Europe,2022,6,13321494616.17,6004129098.9,3463020977.1,2112513884.68,1835786494.23,17018.55,mature
Italy,ITA,Europe,2022,7,20979408695.03,8191932938.79,4877560419.41,4497532227.27,2523764916.03,20080.08,mature
Italy,ITA,Europe,2022,8,21171934481.46,9186598718.9,6044329877.56,4641955744.87,2931063352.11,18524.97,mature
Italy,ITA,Europe,2022,9,13274299511.44,6367415798.68,3289057647.23,1997119404.17,2496786923.29,14064.14,mature
Italy,ITA,Europe,2022,10,9619267154.3,3128811902.45,2219817663.01,1808406589.27,1730868517.11,11597.48,mature
Italy,ITA,Europe,2022,11,7167613014.64,2220270149.86,1889355324.36,1556247206.52,1300363348.36,12513.71,mature
Italy,ITA,Europe,2022,12,7220329752.81,2290391236.32,1843395152.44,1170413563.07,734361921.57,18013.36,mature
Germany,GER,Europe,2018,1,15297369356.97,5823434998.27,3862593674.53,3308590311.82,2143203769.7,19348.52,mature
Germany,GER,Europe,2018,2,8069309534.59,2828686221.77,1770681829.74,1999085919.32,1403660794.56,15263.16,mature
Germany,GER,Europe,2018,3,15953713013.91,4988302955.68,3375567201.6,3689933595.82,3103713652.63,17511.9,mature
Germany,GER,Europe,2018,4,15801586105.03,7617619536.3,3761668249.56,2707811403.97,1741701950.34,15152.06,mature
Germany,GER,Europe,2018,5,24164383498.98,9515501607.82,6844377449.83,4171152343.49,4056156177.11,19310.14,mature
Germany,GER,Europe,2018,6,29765112132.43,9463821475.18,6350088576.93,6872470611.39,4927970707.38,23127.37,mature
Germany,GER,Europe,2018,7,49291366423.06,18580599532.18,13622585978.52,8801833064.09,9470171363.9,23396.05,mature
Germany,GER,Europe,2018,8,45080659284.36,18509224533.55,11865113527.29,9706850295.39,5673258776.42,27600.41,mature
Germany,GER,Europe,2018,9,23565051605.21,7710207338.36,6892474410.47,5240512678.51,2465743941.36,17027.64,mature
Germany,GER,Europe,2018,10,22765170190.45,8391577448.97,6409050765.64,4197442279.67,3742935740.52,18061.36,mature
Germany,GER,Europe,2018,11,13275495235.06,5466199738.6,3045246911.23,2210221831.8,2149646708.95,15906.8,mature
Germany,GER,Europe,2018,12,18918499303.55,9396265355.77,5049548113.08,3813420706.82,3618391608.78,26050.61,mature
Germany,GER,Europe,2019,1,15376634783.16,6300564657.39,3861609758.15,3754926832.05,2486597195.29,19627.63,mature
Germany,GER,Europe,2019,2,12231083906.38,3881360899.4,3324782413.67,2158397168.01,1364423793.95,18984.58,mature
Germany,GER,Europe,2019,3,16078538343.58,7046229980.97,3871011510.9,3105435788.98,1924790319.83,19747.72,mature
Germany,GER,Europe,2019,4,17592627595.64,6507017326.61,3779625375.1,3380822385.71,3226180184.75,15029.64,mature
Germany,GER,Europe,2019,5,19191219673.98,6109538609.09,5569488121.97,4308696654.15,2020969512.31,15620.46,mature
Germany,GER,Europe,2019,6,34677454264.02,15153521998.39,8219750266.0,7712866773.15,4870289175.41,22910.87,mature
Germany,GER,Europe,2019,7,51803895250.63,22735865663.56,10602266870.03,9482712220.18,8100089107.98,27899.09,mature
Germany,GER,Europe,2019,8,39083523769.97,11744757572.57,8126668881.47,7911534974.72,6379428064.33,23260.76,mature
Germany,GER,Europe,2019,9,22974896067.49,9948849221.32,6012815550.86,5605637957.71,4228932811.26,15497.75,mature
Germany,GER,Europe,2019,10,19726395760.88,9729482992.66,4814835515.73,3921431283.62,2528178216.23,20273.25,mature
Germany,GER,Europe,2019,11,15507859312.15,5119810260.83,4142817550.16,2364843920.81,1916194140.67,17831.36,mature
Germany,GER,Europe,2019,12,20818487069.06,10150632421.84,4465360938.23,4977232780.71,2340743709.25,23632.53,mature
Germany,GER,Europe,2020,1,4428948687.04,1612036313.86,1025745564.93,1106471450.87,543008090.53,18630.32,mature
Germany,GER,Europe,2020,2,3138425345.23,1311444226.25,860164678.78,779115511.63,533976011.18,16113.58,mature
Germany,GER,Europe,2020,3,5408018538.53,2064923944.43,1403441818.05,1136135460.88,658540633.34,18131.47,mature
Germany,GER,Europe,2020,4,5406073081.45,1842847914.82,1346087774.48,951398319.91,709709827.57,18745.51,mature
Germany,GER,Europe,2020,5,6916765546.98,2164235348.08,1391677309.0,1127861630.23,808367216.05,18423.53,mature
Germany,GER,Europe,2020,6,10616691549.37,4828324955.4,2597753630.12,2091420430.5,1745738861.11,23575.25,mature
Germany,GER,Europe,2020,7,14454532224.85,4346501977.79,4129262842.39,3596916168.94,1621520167.94,26558.67,mature
Germany,GER,Europe,2020,8,15344704338.51,4610818971.08,3144175164.62,2739031289.72,2833252476.48,26120.47,mature
Germany,GER,Europe,2020,9,7333262930.25,2853843301.87,1788288378.82,1441758779.57,961415048.98,18640.45,mature
Germany,GER,Europe,2020,10,5492613420.58,2271601148.41,1364337690.57,1079340612.3,1063274643.2,19905.24,mature
Germany,GER,Europe,2020,11,4710555205.38,1549597952.52,1147948251.94,842422602.49,935925449.81,19040.09,mature
Germany,GER,Europe,2020,12,5496695666.22,1723620960.1,1325369855.88,1001140819.41,879241900.4,24796.86,mature
Germany,GER,Europe,2021,1,6241207013.26,1917265902.94,1308082329.64,1112899324.15,841516066.41,16245.66,mature
Germany,GER,Europe,2021,2,8186427201.41,2898109321.92,1663066999.25,1867105862.61,1529975763.3,19662.27,mature
Germany,GER,Europe,2021,3,9902430997.7,3535023747.7,2745092387.89,1494176235.47,1905255677.64,17740.79,mature
Germany,GER,Europe,2021,4,12948448313.53,5295483425.78,2949114229.15,1984796273.69,2589461446.56,19836.83,mature
Germany,GER,Europe,2021,5,12612649227.75,4638200539.03,2546836907.37,2698213616.69,2506012327.38,19255.81,mature
Germany,GER,Europe,2021,6,24390972291.64,7725666851.46,5859390521.25,3924954925.15,4663945498.25,26434.92,mature
Germany,GER,Europe,2021,7,29067913787.79,12983919282.11,6059759960.08,4733461798.81,4881920256.81,24319.61,mature
Germany,GER,Europe,2021,8,32073604348.59,10914326543.66,7756479200.96,6797734342.07,5761305660.62,27200.98,mature
Germany,GER,Europe,2021,9,14208703763.89,4533786856.73,3613016656.14,3388216993.05,2654219567.6,18503.95,mature
Germany,GER,Europe,2021,10,10346991024.61,5164589250.32,2178169626.12,2047250840.43,1836718836.39,18261.45,mature
Germany,GER,Europe,2021,11,7890200351.06,3902098207.23,1857389887.72,1459797333.64,957234610.08,15768.07,mature
Germany,GER,Europe,2021,12,11220609186.59,4662362619.63,2725883505.32,1900073474.41,2029965223.41,24081.51,mature
Germany,GER,Europe,2022,1,9749707506.7,4552436277.72,2217998716.1,1945947370.93,1346497529.91,15325.54,mature
Germany,GER,Europe,2022,2,8796835621.19,4039489315.03,2629655484.24,1588760542.65,1366856200.3,18180.5,mature
Germany,GER,Europe,2022,3,11754001816.27,5874481224.66,3301597591.46,2229832711.94,1735923910.2,17593.1,mature
Germany,GER,Europe,2022,4,13194855140.18,5951532337.87,3754215736.44,3252514406.02,2066088546.78,16357.29,mature
Germany,GER,Europe,2022,5,19998250747.52,7783554497.03,5217800618.22,3697174667.6,3475074267.34,18742.56,mature
Germany,GER,Europe,2022,6,27088365576.87,8280679582.59,7357527562.44,6584322437.25,4421495584.85,22591.49,mature
Germany,GER,Europe,2022,7,47795641588.01,22214786091.43,11287773669.19,7686082400.95,9239338611.79,26544.18,mature
Germany,GER,Europe,2022,8,39662981294.92,15403837126.67,8793955863.3,9488790713.46,6776129613.02,27735.01,mature
