Country,Country_Code,Region,Year,Month,Flight_Capacity,Passengers,Load_Factor,Average_Ticket_Price,Revenue,Tourism_Maturity
Germany,GER,Europe,2022,4,1053194,743922,0.706,1675.67,1246569291.16,mature
Germany,GER,Europe,2022,5,1755697,1147830,0.654,1640.96,1883546798.19,mature
Germany,GER,Europe,2022,6,2071217,1754442,0.847,2976.29,5221731378.6,mature
Germany,GER,Europe,2022,7,2311282,1709523,0.74,2521.46,4310494032.17,mature
Germany,GER,Europe,2022,8,1724389,1206353,0.7,2595.52,3131113263.19,mature
Germany,GER,Europe,2022,9,1417725,1131728,0.798,1756.71,1988115013.03,mature
Germany,GER,Europe,2022,10,1244655,1053466,0.846,1956.07,2060648165.44,mature
Germany,GER,Europe,2022,11,1267505,975901,0.77,2093.95,2043485427.25,mature
Germany,GER,Europe,2022,12,1234114,978619,0.793,2645.72,2589154877.82,mature
United Kingdom,UNI,Europe,2018,1,637954,541526,0.849,1745.08,945003718.49,mature
United Kingdom,UNI,Europe,2018,2,749798,605822,0.808,1976.14,1197190474.84,mature
United Kingdom,UNI,Europe,2018,3,1187688,1109014,0.934,1616.94,1793206764.34,mature
United Kingdom,UNI,Europe,2018,4,1095673,962992,0.879,1864.55,1795543301.11,mature
United Kingdom,UNI,Europe,2018,5,1403977,1218175,0.868,1754.27,2137002513.53,mature
United Kingdom,UNI,Europe,2018,6,1581052,1226302,0.776,2830.42,3470948922.75,mature
United Kingdom,UNI,Europe,2018,7,2450059,2146361,0.876,2180.82,4680816672.84,mature
United Kingdom,UNI,Europe,2018,8,2397089,2232632,0.931,2519.66,5625473556.56,mature
United Kingdom,UNI,Europe,2018,9,1482933,1225388,0.826,1934.78,2370857488.83,mature
United Kingdom,UNI,Europe,2018,10,936890,694509,0.741,1524.4,1058707263.65,mature
United Kingdom,UNI,Europe,2018,11,1215972,959581,0.789,1949.87,1871058158.36,mature
United Kingdom,UNI,Europe,2018,12,949893,758427,0.798,2797.39,2121615387.54,mature
United Kingdom,UNI,Europe,2019,1,975930,815835,0.836,1848.87,1508370733.94,mature
United Kingdom,UNI,Europe,2019,2,743789,489055,0.658,1711.57,837052430.05,mature
United Kingdom,UNI,Europe,2019,3,1124754,779749,0.693,1965.65,1532711678.54,mature
United Kingdom,UNI,Europe,2019,4,1289268,1160041,0.9,1545.47,1792810190.29,mature
United Kingdom,UNI,Europe,2019,5,2257164,1981905,0.878,1876.69,3719428755.02,mature
United Kingdom,UNI,Europe,2019,6,1650699,1270993,0.77,2587.22,3288332300.21,mature
United Kingdom,UNI,Europe,2019,7,2492398,2236104,0.897,2216.19,4955637188.46,mature
United Kingdom,UNI,Europe,2019,8,2574663,2389606,0.928,2586.88,6181621415.12,mature
United Kingdom,UNI,Europe,2019,9,1696919,1504225,0.886,1736.24,2611691570.43,mature
United Kingdom,UNI,Europe,2019,10,1486328,1315672,0.885,1486.83,1956185639.4,mature
United Kingdom,UNI,Europe,2019,11,1151803,885852,0.769,1950.9,1728212665.36,mature
United Kingdom,UNI,Europe,2019,12,924739,621517,0.672,2805.9,1743916126.67,mature
United Kingdom,UNI,Europe,2020,1,247965,208360,0.84,1602.01,333794949.34,mature
United Kingdom,UNI,Europe,2020,2,235831,192361,0.816,1665.38,320354049.12,mature
United Kingdom,UNI,Europe,2020,3,438221,283152,0.646,1651.36,467584614.82,mature
United Kingdom,UNI,Europe,2020,4,307247,252208,0.821,1659.92,418645171.31,mature
United Kingdom,UNI,Europe,2020,5,354408,330166,0.932,1664.68,549621629.68,mature
United Kingdom,UNI,Europe,2020,6,487040,368374,0.756,2315.95,853135356.82,mature
United Kingdom,UNI,Europe,2020,7,630232,410912,0.652,2279.99,936875857.16,mature
United Kingdom,UNI,Europe,2020,8,544299,406583,0.747,2609.21,1060859402.28,mature
United Kingdom,UNI,Europe,2020,9,485267,291176,0.6,1937.32,564100255.59,mature
United Kingdom,UNI,Europe,2020,10,505863,474185,0.937,1634.39,775004467.43,mature
United Kingdom,UNI,Europe,2020,11,305047,200967,0.659,1881.2,378058685.25,mature
United Kingdom,UNI,Europe,2020,12,212552,151782,0.714,2513.4,381489045.2,mature
United Kingdom,UNI,Europe,2021,1,475054,378081,0.796,1495.13,565280943.59,mature
United Kingdom,UNI,Europe,2021,2,414071,382195,0.923,1911.08,730404840.31,mature
United Kingdom,UNI,Europe,2021,3,661512,529417,0.8,1500.3,794286759.69,mature
United Kingdom,UNI,Europe,2021,4,712374,490415,0.688,1703.63,835483594.43,mature
United Kingdom,UNI,Europe,2021,5,920221,700521,0.761,1508.07,1056436779.83,mature
United Kingdom,UNI,Europe,2021,6,1087990,714724,0.657,2700.83,1930345228.65,mature
United Kingdom,UNI,Europe,2021,7,1254381,964477,0.769,2659.26,2564792979.3,mature
United Kingdom,UNI,Europe,2021,8,1270995,796418,0.627,2565.58,2043270606.34,mature
United Kingdom,UNI,Europe,2021,9,812974,655028,0.806,1846.89,1209764145.64,mature
United Kingdom,UNI,Europe,2021,10,651716,502422,0.771,1941.53,975468085.35,mature
United Kingdom,UNI,Europe,2021,11,663612,629631,0.949,1524.78,960049576.04,mature
United Kingdom,UNI,Europe,2021,12,525041,434952,0.828,2788.06,1212672040.74,mature
United Kingdom,UNI,Europe,2022,1,660695,461212,0.698,1511.38,697065108.34,mature
United Kingdom,UNI,Europe,2022,2,665715,498835,0.749,1931.44,963467655.87,mature
United Kingdom,UNI,Europe,2022,3,964039,621061,0.644,1600.13,993778417.06,mature
United Kingdom,UNI,Europe,2022,4,962591,862319,0.896,1648.11,1421197407.28,mature
United Kingdom,UNI,Europe,2022,5,1388642,951888,0.685,1814.51,1727212171.19,mature
United Kingdom,UNI,Europe,2022,6,1598020,1112041,0.696,2179.42,2423602519.51,mature
United Kingdom,UNI,Europe,2022,7,2045744,1259807,0.616,2808.54,3538221776.3,mature
United Kingdom,UNI,Europe,2022,8,2014163,1726909,0.857,2683.21,4633664508.39,mature
United Kingdom,UNI,Europe,2022,9,1167944,730985,0.626,1873.14,1369234686.91,mature
United Kingdom,UNI,Europe,2022,10,1083955,908971,0.839,1861.01,1691600645.5,mature
United Kingdom,UNI,Europe,2022,11,866780,563919,0.651,1869.32,1054144992.7,mature
United Kingdom,UNI,Europe,2022,12,723879,643834,0.889,2475.14,1593581466.57,mature
Netherlands,NET,Europe,2018,1,191377,126280,0.66,2128.21,268750002.2,mature
Netherlands,NET,Europe,2018,2,177909,131939,0.742,1971.08,260062437.04,mature
Netherlands,NET,Europe,2018,3,274464,187677,0.684,1899.98,356581668.46,mature
Netherlands,NET,Europe,2018,4,211325,155524,0.736,1976.35,307369985.12,mature
Netherlands,NET,Europe,2018,5,336963,248587,0.738,1904.55,473446006.08,mature
Netherlands,NET,Europe,2018,6,300769,285572,0.949,2557.26,730281306.56,mature
Netherlands,NET,Europe,2018,7,704752,465878,0.661,3194.48,1488239797.89,mature
Netherlands,NET,Europe,2018,8,585676,433703,0.741,3181.13,1379667389.53,mature
Netherlands,NET,Europe,2018,9,358150,232447,0.649,1861.11,432608980.16,mature
Netherlands,NET,Europe,2018,10,275061,203290,0.739,1896.73,385585505.75,mature
Netherlands,NET,Europe,2018,11,224640,190609,0.849,1817.24,346382680.93,mature
Netherlands,NET,Europe,2018,12,203128,156690,0.771,2868.98,449540212.21,mature
Netherlands,NET,Europe,2019,1,189157,122352,0.647,1982.19,242524988.98,mature
Netherlands,NET,Europe,2019,2,162897,147773,0.907,1772.13,261873633.18,mature
Netherlands,NET,Europe,2019,3,228284,172730,0.757,2279.37,393714851.36,mature
Netherlands,NET,Europe,2019,4,262550,190062,0.724,1674.53,318263692.03,mature
Netherlands,NET,Europe,2019,5,375345,252330,0.672,2068.2,521868539.95,mature
Netherlands,NET,Europe,2019,6,497326,344559,0.693,2553.31,879766090.13,mature
Netherlands,NET,Europe,2019,7,756049,608553,0.805,3196.65,1945330362.99,mature
Netherlands,NET,Europe,2019,8,516677,428067,0.829,2594.74,1110723499.24,mature
Netherlands,NET,Europe,2019,9,393185,326260,0.83,2179.16,710973633.73,mature
Netherlands,NET,Europe,2019,10,311000,273555,0.88,2086.92,570886726.34,mature
Netherlands,NET,Europe,2019,11,238276,216054,0.907,1981.76,428166945.42,mature
Netherlands,NET,Europe,2019,12,237109,183396,0.773,2872.66,526834904.86,mature
Netherlands,NET,Europe,2020,1,86903,61105,0.703,1686.86,103075374.67,mature
Netherlands,NET,Europe,2020,2,68468,60851,0.889,1892.73,115174740.58,mature
Netherlands,NET,Europe,2020,3,66202,55373,0.836,1713.15,94862077.97,mature
Netherlands,NET,Europe,2020,4,96368,60716,0.63,2037.1,123684298.72,mature
