Country,Country_Code,Region,Year,Month,Arrivals,Arrivals_Growth_Rate,Arrivals_Per_Capita,Source_Market_Diversity,Peak_Season_Arrivals,Off_Season_Arrivals,Population,GDP_Per_Capita,Tourism_Maturity
France,FRA,Europe,2022,12,534984,49.9,0.007939,0.71,789572,304795,67390000,42000,mature
Spain,SPA,Europe,2018,1,480139,-0.1,0.01014,0.41,354617,523851,47350000,30000,mature
Spain,SPA,Europe,2018,2,346694,7.6,0.007322,0.45,276890,413826,47350000,30000,mature
Spain,SPA,Europe,2018,3,484617,-1.7,0.010235,0.6,396677,597254,47350000,30000,mature
Spain,SPA,Europe,2018,4,560903,0.6,0.011846,0.71,449004,721073,47350000,30000,mature
Spain,SPA,Europe,2018,5,640538,3.4,0.013528,0.44,527026,695856,47350000,30000,mature
Spain,SPA,Europe,2018,6,907457,2.4,0.019165,0.69,1330742,560077,47350000,30000,mature
Spain,SPA,Europe,2018,7,1292623,-3.9,0.027299,0.87,1894766,847111,47350000,30000,mature
Spain,SPA,Europe,2018,8,945981,2.6,0.019978,0.56,1516846,513471,47350000,30000,mature
Spain,SPA,Europe,2018,9,735229,4.5,0.015528,0.46,611327,905027,47350000,30000,mature
Spain,SPA,Europe,2018,10,662365,3.7,0.013989,0.8,506793,743562,47350000,30000,mature
Spain,SPA,Europe,2018,11,534328,3.8,0.011285,0.9,419992,624782,47350000,30000,mature
Spain,SPA,Europe,2018,12,397631,5.5,0.008398,0.87,639202,235191,47350000,30000,mature
Spain,SPA,Europe,2019,1,484391,9.1,0.01023,0.45,418712,581880,47350000,30000,mature
Spain,SPA,Europe,2019,2,353372,9.7,0.007463,0.85,276433,382561,47350000,30000,mature
Spain,SPA,Europe,2019,3,538956,4.3,0.011382,0.88,437497,663800,47350000,30000,mature
Spain,SPA,Europe,2019,4,489694,2.8,0.010342,0.56,405272,617294,47350000,30000,mature
Spain,SPA,Europe,2019,5,792307,8.1,0.016733,0.45,633138,866636,47350000,30000,mature
Spain,SPA,Europe,2019,6,707876,13.9,0.01495,0.84,1030154,392197,47350000,30000,mature
Spain,SPA,Europe,2019,7,1164836,2.2,0.024601,0.71,1607866,640767,47350000,30000,mature
Spain,SPA,Europe,2019,8,998827,6.0,0.021095,0.81,1560041,549117,47350000,30000,mature
Spain,SPA,Europe,2019,9,701546,-2.0,0.014816,0.81,611439,923684,47350000,30000,mature
Spain,SPA,Europe,2019,10,626604,11.8,0.013233,0.44,529069,760708,47350000,30000,mature
Spain,SPA,Europe,2019,11,566806,4.2,0.011971,0.46,452776,613695,47350000,30000,mature
Spain,SPA,Europe,2019,12,416925,4.8,0.008805,0.46,577549,257620,47350000,30000,mature
Spain,SPA,Europe,2020,1,134484,-63.8,0.00284,0.88,104895,154465,47350000,30000,mature
Spain,SPA,Europe,2020,2,102881,-69.1,0.002173,0.88,74274,135059,47350000,30000,mature
Spain,SPA,Europe,2020,3,152494,-71.4,0.003221,0.44,123309,200169,47350000,30000,mature
Spain,SPA,Europe,2020,4,209252,-69.4,0.004419,0.75,165880,257509,47350000,30000,mature
Spain,SPA,Europe,2020,5,231661,-70.5,0.004893,0.42,177210,303036,47350000,30000,mature
Spain,SPA,Europe,2020,6,252853,-66.5,0.00534,0.71,362393,142248,47350000,30000,mature
Spain,SPA,Europe,2020,7,251730,-74.1,0.005316,0.69,345706,165368,47350000,30000,mature
Spain,SPA,Europe,2020,8,241248,-69.6,0.005095,0.81,375241,134981,47350000,30000,mature
Spain,SPA,Europe,2020,9,203438,-62.3,0.004296,0.87,174666,221921,47350000,30000,mature
Spain,SPA,Europe,2020,10,190355,-72.8,0.00402,0.81,167125,212456,47350000,30000,mature
Spain,SPA,Europe,2020,11,123600,-64.7,0.00261,0.88,105646,158357,47350000,30000,mature
Spain,SPA,Europe,2020,12,96494,-75.9,0.002038,0.54,131898,62119,47350000,30000,mature
Spain,SPA,Europe,2021,1,255824,100.2,0.005403,0.78,222864,328456,47350000,30000,mature
Spain,SPA,Europe,2021,2,206405,92.0,0.004359,0.46,180119,252945,47350000,30000,mature
Spain,SPA,Europe,2021,3,319532,94.4,0.006748,0.71,248374,353803,47350000,30000,mature
Spain,SPA,Europe,2021,4,349181,110.2,0.007374,0.79,280471,448532,47350000,30000,mature
Spain,SPA,Europe,2021,5,513968,108.8,0.010855,0.84,403237,571617,47350000,30000,mature
Spain,SPA,Europe,2021,6,587526,104.4,0.012408,0.51,817197,318289,47350000,30000,mature
Spain,SPA,Europe,2021,7,706882,91.2,0.014929,0.6,1047063,458412,47350000,30000,mature
Spain,SPA,Europe,2021,8,608550,89.1,0.012852,0.79,893937,374045,47350000,30000,mature
Spain,SPA,Europe,2021,9,388916,99.7,0.008214,0.63,341003,466010,47350000,30000,mature
Spain,SPA,Europe,2021,10,426593,92.8,0.009009,0.52,312325,473916,47350000,30000,mature
Spain,SPA,Europe,2021,11,309240,95.3,0.006531,0.49,239756,400537,47350000,30000,mature
Spain,SPA,Europe,2021,12,308236,98.4,0.00651,0.49,433900,167959,47350000,30000,mature
Spain,SPA,Europe,2022,1,343020,37.7,0.007244,0.49,251842,380393,47350000,30000,mature
Spain,SPA,Europe,2022,2,258567,40.7,0.005461,0.58,206995,322096,47350000,30000,mature
Spain,SPA,Europe,2022,3,393028,42.7,0.0083,0.84,340889,430232,47350000,30000,mature
Spain,SPA,Europe,2022,4,524087,38.6,0.011068,0.77,392816,592347,47350000,30000,mature
Spain,SPA,Europe,2022,5,587107,30.2,0.012399,0.71,457371,699249,47350000,30000,mature
Spain,SPA,Europe,2022,6,786135,36.7,0.016603,0.85,1181956,474710,47350000,30000,mature
Spain,SPA,Europe,2022,7,893984,36.9,0.01888,0.67,1271909,511635,47350000,30000,mature
Spain,SPA,Europe,2022,8,829400,41.4,0.017516,0.56,1172302,480471,47350000,30000,mature
Spain,SPA,Europe,2022,9,776124,46.1,0.016391,0.79,620705,854404,47350000,30000,mature
Spain,SPA,Europe,2022,10,672348,46.7,0.0142,0.77,530526,746723,47350000,30000,mature
Spain,SPA,Europe,2022,11,385595,34.8,0.008144,0.72,312842,449397,47350000,30000,mature
Spain,SPA,Europe,2022,12,363230,42.3,0.007671,0.52,501452,202807,47350000,30000,mature
Italy,ITA,Europe,2018,1,507894,0.5,0.008414,0.49,388851,569659,60360000,35000,mature
Italy,ITA,Europe,2018,2,339400,4.1,0.005623,0.89,250452,398959,60360000,35000,mature
Italy,ITA,Europe,2018,3,597225,4.3,0.009894,0.49,493895,778214,60360000,35000,mature
Italy,ITA,Europe,2018,4,872321,6.9,0.014452,0.54,735470,981266,60360000,35000,mature
Italy,ITA,Europe,2018,5,836294,-3.4,0.013855,0.65,634568,926247,60360000,35000,mature
Italy,ITA,Europe,2018,6,920868,4.4,0.015256,0.69,1285817,550437,60360000,35000,mature
Italy,ITA,Europe,2018,7,1269574,2.1,0.021033,0.57,1765119,695225,60360000,35000,mature
Italy,ITA,Europe,2018,8,1191256,4.3,0.019736,0.74,1879884,728425,60360000,35000,mature
Italy,ITA,Europe,2018,9,749779,-0.4,0.012422,0.57,651351,959228,60360000,35000,mature
Italy,ITA,Europe,2018,10,828690,2.3,0.013729,0.49,605473,1042384,60360000,35000,mature
Italy,ITA,Europe,2018,11,707791,2.8,0.011726,0.47,599671,798665,60360000,35000,mature
Italy,ITA,Europe,2018,12,525938,1.0,0.008713,0.81,814973,317019,60360000,35000,mature
Italy,ITA,Europe,2019,1,620091,3.4,0.010273,0.6,527484,735051,60360000,35000,mature
Italy,ITA,Europe,2019,2,443182,-6.2,0.007342,0.55,372103,532108,60360000,35000,mature
Italy,ITA,Europe,2019,3,687225,3.9,0.011385,0.59,554568,891711,60360000,35000,mature
Italy,ITA,Europe,2019,4,693242,6.4,0.011485,0.87,568759,804422,60360000,35000,mature
Italy,ITA,Europe,2019,5,982849,2.9,0.016283,0.71,791541,1272332,60360000,35000,mature
Italy,ITA,Europe,2019,6,1085201,7.0,0.017979,0.56,1545920,682888,60360000,35000,mature
Italy,ITA,Europe,2019,7,1436210,2.6,0.023794,0.78,2316649,834509,60360000,35000,mature
Italy,ITA,Europe,2019,8,1502226,2.8,0.024888,0.47,2131321,941400,60360000,35000,mature
Italy,ITA,Europe,2019,9,1136674,11.8,0.018832,0.75,917110,1296300,60360000,35000,mature
Italy,ITA,Europe,2019,10,765047,2.4,0.012675,0.85,622245,899851,60360000,35000,mature
Italy,ITA,Europe,2019,11,709015,4.7,0.011746,0.48,576994,851820,60360000,35000,mature
Italy,ITA,Europe,2019,12,558831,5.2,0.009258,0.84,910691,339666,60360000,35000,mature
Italy,ITA,Europe,2020,1,170811,-70.3,0.00283,0.75,127152,208100,60360000,35000,mature
Italy,ITA,Europe,2020,2,117591,-62.0,0.001948,0.77,102245,153120,60360000,35000,mature
Italy,ITA,Europe,2020,3,171318,-72.1,0.002838,0.89,146344,190149,60360000,35000,mature
Italy,ITA,Europe,2020,4,272460,-68.8,0.004514,0.6,198558,316176,60360000,35000,mature
Italy,ITA,Europe,2020,5,244129,-79.7,0.004045,0.67,211703,283952,60360000,35000,mature
Italy,ITA,Europe,2020,6,367342,-75.5,0.006086,0.63,520665,218309,60360000,35000,mature
Italy,ITA,Europe,2020,7,397417,-72.8,0.006584,0.65,586460,258234,60360000,35000,mature
Italy,ITA,Europe,2020,8,421354,-80.7,0.006981,0.72,570483,261081,60360000,35000,mature
Italy,ITA,Europe,2020,9,290748,-77.0,0.004817,0.44,255712,349050,60360000,35000,mature
Italy,ITA,Europe,2020,10,227894,-70.7,0.003776,0.77,171737,295244,60360000,35000,mature
Italy,ITA,Europe,2020,11,179226,-74.2,0.002969,0.42,142580,217861,60360000,35000,mature
Italy,ITA,Europe,2020,12,185602,-84.7,0.003075,0.62,272877,112689,60360000,35000,mature
Italy,ITA,Europe,2021,1,314774,98.1,0.005215,0.83,274287,368158,60360000,35000,mature
Italy,ITA,Europe,2021,2,294252,93.4,0.004875,0.6,213056,328819,60360000,35000,mature
Italy,ITA,Europe,2021,3,415848,106.4,0.006889,0.41,314180,472178,60360000,35000,mature
Italy,ITA,Europe,2021,4,438883,99.3,0.007271,0.49,361832,499082,60360000,35000,mature
Italy,ITA,Europe,2021,5,530184,98.1,0.008784,0.76,454321,678240,60360000,35000,mature
Italy,ITA,Europe,2021,6,759214,95.0,0.012578,0.5,1091708,491637,60360000,35000,mature
Italy,ITA,Europe,2021,7,841435,93.7,0.01394,0.61,1361275,536914,60360000,35000,mature
Italy,ITA,Europe,2021,8,666115,95.9,0.011036,0.59,1017217,381129,60360000,35000,mature
Italy,ITA,Europe,2021,9,521050,108.8,0.008632,0.68,411515,599557,60360000,35000,mature
Italy,ITA,Europe,2021,10,536429,99.8,0.008887,0.8,422725,582237,60360000,35000,mature
Italy,ITA,Europe,2021,11,391972,91.4,0.006494,0.72,298393,436440,60360000,35000,mature
Italy,ITA,Europe,2021,12,283947,100.5,0.004704,0.54,384896,184485,60360000,35000,mature
Italy,ITA,Europe,2022,1,470797,36.8,0.0078,0.54,380718,582065,60360000,35000,mature
Italy,ITA,Europe,2022,2,366742,44.3,0.006076,0.41,272086,475299,60360000,35000,mature
Italy,ITA,Europe,2022,3,552505,46.6,0.009154,0.7,456593,619960,60360000,35000,mature
Italy,ITA,Europe,2022,4,605938,45.7,0.010039,0.59,486584,661243,60360000,35000,mature
Italy,ITA,Europe,2022,5,809428,38.0,0.01341,0.44,660901,921845,60360000,35000,mature
Italy,ITA,Europe,2022,6,782763,37.7,0.012968,0.58,1225584,450601,60360000,35000,mature
Italy,ITA,Europe,2022,7,1044787,54.8,0.017309,0.73,1704100,656031,60360000,35000,mature
Italy,ITA,Europe,2022,8,1142886,34.1,0.018935,0.43,1713084,699013,60360000,35000,mature
Italy,ITA,Europe,2022,9,943840,38.2,0.015637,0.45,690912,1184298,60360000,35000,mature
Italy,ITA,Europe,2022,10,829427,41.4,0.013741,0.62,629887,1058834,60360000,35000,mature
Italy,ITA,Europe,2022,11,572781,46.5,0.009489,0.54,466494,668226,60360000,35000,mature
Italy,ITA,Europe,2022,12,400832,40.5,0.006641,0.67,646095,251669,60360000,35000,mature
Germany,GER,Europe,2018,1,790622,5.2,0.009504,0.75,676670,901246,83190000,48000,mature
Germany,GER,Europe,2018,2,528679,1.8,0.006355,0.89,460506,575976,83190000,48000,mature
Germany,GER,Europe,2018,3,911021,2.6,0.010951,0.49,738721,1184070,83190000,48000,mature
Germany,GER,Europe,2018,4,1042867,1.4,0.012536,0.89,908423,1244986,83190000,48000,mature
Germany,GER,Europe,2018,5,1251383,2.1,0.015042,0.56,1066962,1362608,83190000,48000,mature
Germany,GER,Europe,2018,6,1287008,3.5,0.015471,0.46,1767173,802520,83190000,48000,mature
Germany,GER,Europe,2018,7,2106824,-0.7,0.025325,0.43,3043491,1274078,83190000,48000,mature
Germany,GER,Europe,2018,8,1633333,5.1,0.019634,0.71,2639129,1002709,83190000,48000,mature
Germany,GER,Europe,2018,9,1383929,5.2,0.016636,0.87,1173302,1826100,83190000,48000,mature
Germany,GER,Europe,2018,10,1260435,-0.1,0.015151,0.6,1004289,1551093,83190000,48000,mature
Germany,GER,Europe,2018,11,834580,6.4,0.010032,0.61,699389,949173,83190000,48000,mature
Germany,GER,Europe,2018,12,726221,-0.4,0.00873,0.54,1044954,412517,83190000,48000,mature
Germany,GER,Europe,2019,1,783418,6.2,0.009417,0.59,649253,887128,83190000,48000,mature
Germany,GER,Europe,2019,2,644264,0.9,0.007744,0.84,561255,768076,83190000,48000,mature
Germany,GER,Europe,2019,3,814197,6.9,0.009787,0.9,616402,1063549,83190000,48000,mature
Germany,GER,Europe,2019,4,1170529,13.1,0.014071,0.66,885981,1313762,83190000,48000,mature
Germany,GER,Europe,2019,5,1228595,2.2,0.014769,0.79,953415,1343939,83190000,48000,mature
Germany,GER,Europe,2019,6,1513581,-0.9,0.018194,0.78,2359380,845286,83190000,48000,mature
Germany,GER,Europe,2019,7,1856831,8.2,0.02232,0.51,2805844,1134807,83190000,48000,mature
Germany,GER,Europe,2019,8,1680234,5.8,0.020198,0.84,2402198,933440,83190000,48000,mature
Germany,GER,Europe,2019,9,1482467,6.7,0.01782,0.73,1198037,1632014,83190000,48000,mature
Germany,GER,Europe,2019,10,973026,-1.3,0.011696,0.53,813204,1166668,83190000,48000,mature
Germany,GER,Europe,2019,11,869696,6.1,0.010454,0.83,695081,1039583,83190000,48000,mature
Germany,GER,Europe,2019,12,880925,6.7,0.010589,0.57,1368433,535503,83190000,48000,mature
Germany,GER,Europe,2020,1,237728,-73.2,0.002858,0.8,196209,305276,83190000,48000,mature
Germany,GER,Europe,2020,2,194769,-67.9,0.002341,0.82,161969,242144,83190000,48000,mature
Germany,GER,Europe,2020,3,298267,-68.2,0.003585,0.48,256790,384539,83190000,48000,mature
Germany,GER,Europe,2020,4,288393,-75.6,0.003467,0.77,215061,368079,83190000,48000,mature
Germany,GER,Europe,2020,5,375431,-65.0,0.004513,0.4,287552,461052,83190000,48000,mature
Germany,GER,Europe,2020,6,450332,-71.0,0.005413,0.53,693603,272360,83190000,48000,mature
Germany,GER,Europe,2020,7,544249,-70.3,0.006542,0.78,823112,356787,83190000,48000,mature
Germany,GER,Europe,2020,8,587459,-78.6,0.007062,0.87,811136,383298,83190000,48000,mature
Germany,GER,Europe,2020,9,393406,-70.5,0.004729,0.55,327828,431238,83190000,48000,mature
Germany,GER,Europe,2020,10,275938,-66.6,0.003317,0.71,200695,355731,83190000,48000,mature
Germany,GER,Europe,2020,11,247402,-69.5,0.002974,0.78,179102,268507,83190000,48000,mature
Germany,GER,Europe,2020,12,221669,-81.6,0.002665,0.79,344693,131562,83190000,48000,mature
Germany,GER,Europe,2021,1,384177,89.0,0.004618,0.48,325463,478870,83190000,48000,mature
Germany,GER,Europe,2021,2,416352,106.6,0.005005,0.54,363116,464754,83190000,48000,mature
Germany,GER,Europe,2021,3,558173,99.5,0.00671,0.61,458910,656090,83190000,48000,mature
Germany,GER,Europe,2021,4,652748,99.0,0.007846,0.51,492235,709845,83190000,48000,mature
Germany,GER,Europe,2021,5,655005,107.2,0.007874,0.83,521197,859607,83190000,48000,mature
Germany,GER,Europe,2021,6,922680,98.8,0.011091,0.79,1459013,591783,83190000,48000,mature
Germany,GER,Europe,2021,7,1195246,106.6,0.014368,0.47,1625246,777510,83190000,48000,mature
Germany,GER,Europe,2021,8,1179134,102.5,0.014174,0.64,1633328,654445,83190000,48000,mature
Germany,GER,Europe,2021,9,767874,109.0,0.00923,0.5,613266,841137,83190000,48000,mature
Germany,GER,Europe,2021,10,566603,102.8,0.006811,0.8,436091,673835,83190000,48000,mature
Germany,GER,Europe,2021,11,500391,87.9,0.006015,0.7,383633,623886,83190000,48000,mature
Germany,GER,Europe,2021,12,465943,102.4,0.005601,0.42,696189,257476,83190000,48000,mature
Germany,GER,Europe,2022,1,636174,35.9,0.007647,0.71,529547,772516,83190000,48000,mature
Germany,GER,Europe,2022,2,483861,41.9,0.005816,0.58,350951,531695,83190000,48000,mature
Germany,GER,Europe,2022,3,668103,40.3,0.008031,0.68,554735,849921,83190000,48000,mature
Germany,GER,Europe,2022,4,806665,39.4,0.009697,0.45,662941,1007972,83190000,48000,mature
Germany,GER,Europe,2022,5,1066997,38.4,0.012826,0.75,916929,1335220,83190000,48000,mature
Germany,GER,Europe,2022,6,1199052,47.1,0.014413,0.81,1647539,776240,83190000,48000,mature
Germany,GER,Europe,2022,7,1800607,42.7,0.021645,0.63,2778469,1086069,83190000,48000,mature
Germany,GER,Europe,2022,8,1430069,42.7,0.01719,0.43,2036606,799616,83190000,48000,mature
Germany,GER,Europe,2022,9,1129363,43.8,0.013576,0.89,874018,1269075,83190000,48000,mature
Germany,GER,Europe,2022,10,1013665,47.3,0.012185,0.65,819911,1269725,83190000,48000,mature
Germany,GER,Europe,2022,11,745292,42.3,0.008959,0.5,617725,817829,83190000,48000,mature
Germany,GER,Europe,2022,12,705838,41.1,0.008485,0.76,1110150,417192,83190000,48000,mature
United Kingdom,UNI,Europe,2018,1,530823,-2.4,0.007897,0.89,385599,683747,67220000,45000,mature
United Kingdom,UNI,Europe,2018,2,425411,8.0,0.006329,0.76,339421,548619,67220000,45000,mature
United Kingdom,UNI,Europe,2018,3,693625,4.7,0.010319,0.54,565149,900997,67220000,45000,mature
United Kingdom,UNI,Europe,2018,4,849622,-1.8,0.012639,0.72,711387,944420,67220000,45000,mature
United Kingdom,UNI,Europe,2018,5,1058113,2.8,0.015741,0.49,802057,1389445,67220000,45000,mature
United Kingdom,UNI,Europe,2018,6,1249138,1.1,0.018583,0.65,1778984,805057,67220000,45000,mature
United Kingdom,UNI,Europe,2018,7,1629165,-6.5,0.024236,0.58,2489178,911718,67220000,45000,mature
United Kingdom,UNI,Europe,2018,8,1464454,1.7,0.021786,0.53,2265541,847952,67220000,45000,mature
United Kingdom,UNI,Europe,2018,9,1057255,3.0,0.015728,0.88,837987,1201732,67220000,45000,mature
United Kingdom,UNI,Europe,2018,10,717340,2.8,0.010672,0.81,565940,817547,67220000,45000,mature
United Kingdom,UNI,Europe,2018,11,811735,4.6,0.012076,0.48,606219,883818,67220000,45000,mature
United Kingdom,UNI,Europe,2018,12,656226,5.7,0.009762,0.64,1052096,417806,67220000,45000,mature
United Kingdom,UNI,Europe,2019,1,700675,6.2,0.010424,0.5,517033,802091,67220000,45000,mature
United Kingdom,UNI,Europe,2019,2,531918,1.6,0.007913,0.87,386329,590060,67220000,45000,mature
United Kingdom,UNI,Europe,2019,3,795396,4.6,0.011833,0.56,637237,866964,67220000,45000,mature
United Kingdom,UNI,Europe,2019,4,858773,7.3,0.012776,0.83,680800,1033743,67220000,45000,mature
United Kingdom,UNI,Europe,2019,5,1279814,4.3,0.019039,0.47,927604,1476781,67220000,45000,mature
United Kingdom,UNI,Europe,2019,6,1151229,8.2,0.017126,0.74,1889137,634636,67220000,45000,mature
United Kingdom,UNI,Europe,2019,7,1489013,14.6,0.022151,0.83,2089301,927826,67220000,45000,mature
United Kingdom,UNI,Europe,2019,8,1477622,15.0,0.021982,0.71,2379964,899093,67220000,45000,mature
United Kingdom,UNI,Europe,2019,9,1293334,10.9,0.01924,0.51,1067546,1519056,67220000,45000,mature
United Kingdom,UNI,Europe,2019,10,879319,6.5,0.013081,0.73,773718,959839,67220000,45000,mature
United Kingdom,UNI,Europe,2019,11,736347,6.6,0.010954,0.84,622347,895459,67220000,45000,mature
United Kingdom,UNI,Europe,2019,12,671081,6.8,0.009983,0.6,971799,416145,67220000,45000,mature
United Kingdom,UNI,Europe,2020,1,192336,-67.9,0.002861,0.8,151886,245475,67220000,45000,mature
United Kingdom,UNI,Europe,2020,2,153067,-76.6,0.002277,0.4,118157,178775,67220000,45000,mature
United Kingdom,UNI,Europe,2020,3,245505,-75.7,0.003652,0.59,194389,279142,67220000,45000,mature
United Kingdom,UNI,Europe,2020,4,210698,-74.4,0.003134,0.44,172046,261344,67220000,45000,mature
United Kingdom,UNI,Europe,2020,5,281674,-60.2,0.00419,0.59,241713,339298,67220000,45000,mature
United Kingdom,UNI,Europe,2020,6,346499,-71.5,0.005155,0.57,507295,203692,67220000,45000,mature
United Kingdom,UNI,Europe,2020,7,500132,-59.2,0.00744,0.7,789941,318863,67220000,45000,mature
United Kingdom,UNI,Europe,2020,8,412785,-69.5,0.006141,0.86,564723,269190,67220000,45000,mature
United Kingdom,UNI,Europe,2020,9,307651,-72.8,0.004577,0.64,234148,353297,67220000,45000,mature
United Kingdom,UNI,Europe,2020,10,298672,-74.5,0.004443,0.67,229921,366316,67220000,45000,mature
United Kingdom,UNI,Europe,2020,11,190788,-66.7,0.002838,0.61,141088,214346,67220000,45000,mature
United Kingdom,UNI,Europe,2020,12,163903,-68.7,0.002438,0.66,256134,90610,67220000,45000,mature
United Kingdom,UNI,Europe,2021,1,305164,102.2,0.00454,0.88,243327,388607,67220000,45000,mature
