Country,Country_Code,Region,Year,Month,Hotel_Bookings,Average_Daily_Rate,Occupancy_Rate,Revenue,Tourism_Maturity
United Kingdom,UNI,Europe,2019,12,532356,8552.23,0.683,3111423522.4,mature
United Kingdom,UNI,Europe,2020,1,116766,6317.03,0.754,556306113.25,mature
United Kingdom,UNI,Europe,2020,2,96047,3836.57,0.428,157688774.64,mature
United Kingdom,UNI,Europe,2020,3,192185,5437.84,0.675,705232087.3,mature
United Kingdom,UNI,Europe,2020,4,145809,5215.71,0.684,520153945.23,mature
United Kingdom,UNI,Europe,2020,5,170645,4542.67,0.429,332748975.27,mature
United Kingdom,UNI,Europe,2020,6,301470,8978.1,0.948,2565514008.71,mature
United Kingdom,UNI,Europe,2020,7,345416,9391.91,0.732,2373654740.54,mature
United Kingdom,UNI,Europe,2020,8,303784,7620.95,0.806,1866256077.95,mature
United Kingdom,UNI,Europe,2020,9,268038,4415.33,0.496,587554505.06,mature
United Kingdom,UNI,Europe,2020,10,241585,6417.83,0.812,1259703041.26,mature
United Kingdom,UNI,Europe,2020,11,130761,4913.88,0.611,392835032.6,mature
United Kingdom,UNI,Europe,2020,12,140240,9102.7,0.724,924150393.51,mature
United Kingdom,UNI,Europe,2021,1,208270,6312.57,0.759,998296677.23,mature
United Kingdom,UNI,Europe,2021,2,253954,5346.32,0.852,1156308985.89,mature
United Kingdom,UNI,Europe,2021,3,359139,4690.79,0.93,1567075796.59,mature
United Kingdom,UNI,Europe,2021,4,327320,5855.52,0.931,1784489344.7,mature
United Kingdom,UNI,Europe,2021,5,394001,5529.9,0.709,1545244377.4,mature
United Kingdom,UNI,Europe,2021,6,615839,9358.68,0.732,4216962427.86,mature
United Kingdom,UNI,Europe,2021,7,815190,7863.17,0.526,3369872326.29,mature
United Kingdom,UNI,Europe,2021,8,693243,8849.89,0.503,3085880123.36,mature
United Kingdom,UNI,Europe,2021,9,530390,4844.05,0.838,2151906747.06,mature
United Kingdom,UNI,Europe,2021,10,284942,5583.55,0.757,1205018548.03,mature
United Kingdom,UNI,Europe,2021,11,394892,5706.09,0.838,1888180704.46,mature
United Kingdom,UNI,Europe,2021,12,281481,8842.64,0.56,1392825516.14,mature
United Kingdom,UNI,Europe,2022,1,453069,5798.46,0.633,1664113847.95,mature
United Kingdom,UNI,Europe,2022,2,307600,6122.76,0.937,1763972214.02,mature
United Kingdom,UNI,Europe,2022,3,620243,4658.39,0.632,1825859250.15,mature
United Kingdom,UNI,Europe,2022,4,390928,4448.37,0.885,1539584878.04,mature
United Kingdom,UNI,Europe,2022,5,562365,5455.49,0.766,2350933417.95,mature
United Kingdom,UNI,Europe,2022,6,812479,7513.56,0.568,3465264796.35,mature
United Kingdom,UNI,Europe,2022,7,1058809,8005.07,0.941,7972358132.72,mature
United Kingdom,UNI,Europe,2022,8,966647,8315.15,0.884,7102198647.92,mature
United Kingdom,UNI,Europe,2022,9,611793,5901.74,0.523,1888443189.79,mature
United Kingdom,UNI,Europe,2022,10,587120,5012.42,0.459,1351155333.51,mature
United Kingdom,UNI,Europe,2022,11,408896,4866.14,0.812,1615894643.91,mature
United Kingdom,UNI,Europe,2022,12,305772,8800.78,0.794,2136160716.54,mature
Netherlands,NET,Europe,2018,1,114545,6741.29,0.498,384540520.87,mature
Netherlands,NET,Europe,2018,2,89376,7304.37,0.736,480442163.44,mature
Netherlands,NET,Europe,2018,3,140553,6665.69,0.583,546448537.86,mature
Netherlands,NET,Europe,2018,4,124471,7226.65,0.406,365193631.56,mature
Netherlands,NET,Europe,2018,5,222495,5050.09,0.651,731204216.35,mature
Netherlands,NET,Europe,2018,6,187641,10682.61,0.891,1785123152.92,mature
Netherlands,NET,Europe,2018,7,392036,9507.13,0.761,2836351691.51,mature
Netherlands,NET,Europe,2018,8,240211,9206.24,0.637,1409521531.35,mature
Netherlands,NET,Europe,2018,9,218327,5932.5,0.848,1098003780.4,mature
Netherlands,NET,Europe,2018,10,161231,4431.89,0.747,533511523.55,mature
Netherlands,NET,Europe,2018,11,113504,5792.68,0.85,558937888.94,mature
Netherlands,NET,Europe,2018,12,128182,10875.14,0.792,1104105835.44,mature
Netherlands,NET,Europe,2019,1,117202,6722.16,0.421,331757491.24,mature
Netherlands,NET,Europe,2019,2,73879,4628.05,0.641,219052029.02,mature
Netherlands,NET,Europe,2019,3,126308,7438.9,0.698,656079097.85,mature
Netherlands,NET,Europe,2019,4,132697,5237.92,0.577,401039245.62,mature
Netherlands,NET,Europe,2019,5,176382,6548.06,0.661,762894857.42,mature
Netherlands,NET,Europe,2019,6,242374,9959.05,0.823,1986198693.5,mature
Netherlands,NET,Europe,2019,7,286826,10535.85,0.71,2144920882.41,mature
Netherlands,NET,Europe,2019,8,305128,9133.96,0.625,1742345746.33,mature
Netherlands,NET,Europe,2019,9,191390,7423.42,0.673,956676177.29,mature
Netherlands,NET,Europe,2019,10,200735,5896.13,0.521,616472899.56,mature
Netherlands,NET,Europe,2019,11,127192,4491.54,0.898,512801224.56,mature
Netherlands,NET,Europe,2019,12,126178,10376.56,0.735,962860651.82,mature
Netherlands,NET,Europe,2020,1,39360,7477.79,0.553,162732371.53,mature
Netherlands,NET,Europe,2020,2,33044,6181.98,0.937,191353686.81,mature
Netherlands,NET,Europe,2020,3,42830,7483.4,0.724,231917083.36,mature
Netherlands,NET,Europe,2020,4,43826,5939.5,0.791,205929930.0,mature
Netherlands,NET,Europe,2020,5,57455,4369.59,0.678,170156172.04,mature
Netherlands,NET,Europe,2020,6,59027,10841.72,0.484,309800688.32,mature
Netherlands,NET,Europe,2020,7,100452,8942.11,0.596,535447119.8,mature
Netherlands,NET,Europe,2020,8,103175,8862.2,0.452,413519475.24,mature
Netherlands,NET,Europe,2020,9,56127,5942.4,0.753,251127791.59,mature
Netherlands,NET,Europe,2020,10,47980,6521.61,0.434,135666574.99,mature
Netherlands,NET,Europe,2020,11,51981,6915.69,0.942,338642616.88,mature
Netherlands,NET,Europe,2020,12,33006,9223.34,0.62,188622422.67,mature
Netherlands,NET,Europe,2021,1,86029,4786.34,0.573,235820513.06,mature
Netherlands,NET,Europe,2021,2,53051,5787.25,0.704,216019412.65,mature
Netherlands,NET,Europe,2021,3,67431,4451.09,0.796,238806302.47,mature
Netherlands,NET,Europe,2021,4,70894,7405.02,0.522,273974072.55,mature
Netherlands,NET,Europe,2021,5,113537,5724.43,0.433,281304875.71,mature
Netherlands,NET,Europe,2021,6,130977,9724.29,0.87,1108179608.56,mature
Netherlands,NET,Europe,2021,7,222296,8359.42,0.515,957080581.32,mature
Netherlands,NET,Europe,2021,8,174863,8475.19,0.651,965216801.54,mature
Netherlands,NET,Europe,2021,9,143450,5973.59,0.808,692414858.45,mature
Netherlands,NET,Europe,2021,10,132466,7019.72,0.519,482277587.43,mature
Netherlands,NET,Europe,2021,11,96095,7117.83,0.494,338115922.69,mature
Netherlands,NET,Europe,2021,12,72392,11138.72,0.829,668816902.7,mature
Netherlands,NET,Europe,2022,1,79490,6127.5,0.622,303145331.85,mature
Netherlands,NET,Europe,2022,2,85489,5476.12,0.554,259181684.09,mature
Netherlands,NET,Europe,2022,3,110114,6797.05,0.881,659142629.89,mature
Netherlands,NET,Europe,2022,4,125940,6935.31,0.54,471776412.91,mature
Netherlands,NET,Europe,2022,5,151269,7180.5,0.65,705997004.75,mature
Netherlands,NET,Europe,2022,6,163630,8610.79,0.66,930127944.4,mature
Netherlands,NET,Europe,2022,7,258870,11223.28,0.833,2420390795.55,mature
Netherlands,NET,Europe,2022,8,258841,10445.24,0.892,2412983692.06,mature
Netherlands,NET,Europe,2022,9,149235,7269.39,0.618,670460757.54,mature
